input,label
-4.787870188090535,-1.216803599957529
-3.509057030228774,3.2775811005367035
-3.8553729267370023,2.621374948163108
-4.083517632478237,1.0460879587256289
-4.230588193911728,1.228874240125121
-4.452021387496095,-0.11517131882710277
-3.6640751811838532,3.5346637075082583
-4.209049978435444,1.9793368390830444
-4.436854211991715,0.6279380411189014
-3.4401605892988796,2.8657826429373463
-3.8018116723800377,2.2735834329796276
-4.754107284145325,-1.5681941664674282
-4.220851934316842,1.6386618202346779
-3.0500232834962175,3.8198296075739604
-4.0648021985531635,0.5746735581139725
-4.719657184699776,-0.870725932549582
-4.915862840819678,-3.7429695161412613
-3.544007461107591,2.3912899175246913
-3.768788981438214,1.8386256655447146
-3.1945358074638417,3.8499022290268656
-3.754733171661183,3.4014655020837647
-4.479756596593685,-0.057121770891830265
-3.8889646492308323,1.5477000339923137
-4.190027034821874,1.0949239791805816
-4.716488259034485,-1.0684456185331517
-3.844507288256042,1.9190822397950715
-3.946957510638645,2.201152577886424
-3.1228617516272266,3.697814025421788
-3.0822424243966107,3.4401298100819613
-3.031136392555391,3.6266725146592633
-0.7690438796144267,3.3414825777454626
-0.9029207516472851,3.0507183854166144
-0.7542513338828191,2.951368683502739
-0.3092423364550769,2.494345502417123
-0.8025680991420089,3.6215321043246
-0.17047280257245434,1.5760383061944532
-0.6538727316574534,2.487435770866898
-0.4859851390199351,3.5347454639897125
-0.3388420233795786,3.156254597678293
-0.06637550910568202,1.6909047615014683
-0.9330993301796178,3.9951485982733135
-0.25311031327014155,2.688886844678244
-0.6097173821272057,2.109455008639035
-0.46424157226908147,3.6286089222858635
-0.93957080547377,3.1362985377078947
-0.10864420005072539,2.349707613370899
-0.22212626325087248,2.190895508123358
-0.32988030423346126,2.5727231685571788
-0.26494730335095995,2.0423780997529697
-0.33630048164558746,3.095613428838432
0.36353249618642636,1.0646698484344839
1.7259951451092381,2.7902466330425626
0.9028579124719993,1.2353484841469942
1.2994594068929712,1.8697943990657115
0.3187440131959518,1.6114717842407276
0.8119635026473873,1.8340536553211086
1.5977031698929132,2.13957185205116
1.4583085592524327,2.291358972810716
0.1418083579839915,2.7051341610995143
1.5394264806238445,1.6282571584405408
3.4972156976563435,1.7236552853669067
3.7669217251950298,2.0420643779806196
3.6797585239508503,1.5244839984472613
3.130260668039445,1.001365454496675
3.65874366134881,1.3209313127037903
3.245328914460292,1.4613848762951522
3.245451681887418,1.2246073678198564
3.8379558116223875,2.6379004177190333
3.1054905381254447,1.3303275647048718
3.7264323375694226,1.7148375211531774
4.945685579709081,7.1993043704354385
4.721664905171232,6.005663344710236
4.143898311680736,2.7852203380885743
4.793053070147407,5.214691918019963
4.7089534559716775,5.800770995931505
4.972470111059128,7.152545973847165
4.977515668146689,6.95234392105741
4.499998791360218,3.818202332525842
4.655692439653485,5.377916856054813
4.2687684235516885,2.895361228938587
4.632489552207278,4.649883547761439
4.8520129255778155,6.469912458953453
4.568962404660258,4.369576987451186
4.023386303042005,2.541613440205527
4.554646355332062,4.958147805052348
4.368600290862899,4.517800744224339
4.960311415178056,6.460901899640254
4.39123482807527,3.8772350932752704
4.038072799112592,3.3353857987356994
4.892123743319315,5.978936634943162
4.143876141084121,3.3572174475785808
4.638586752075481,5.068925405897909
4.100037476544645,3.02483397865265
4.890663489821152,6.435848718745283
4.066810541938344,1.8906111587143015
4.745864193622557,5.839697773645741
4.45452347456419,3.584918938913312
4.547246053796482,4.586483567248069
4.64964819604546,5.185535667381814
4.781835618098311,6.616911819536497
